query_id,url_id,query_length,is_homepage,sig1,sig2,sig3,sig4,sig5,sig6,sig7,sig8,relevance
4639,28724,1,0,0.44,0.62,883,2274,50,2,0.34,0.40,0
4640,28677,2,0,0.22,0.34,9917,4188,1656,0,0.70,0.80,1
4640,28678,2,1,0.11,0.22,7080,4411,1388,0,0.48,0.45,1
4641,28679,3,0,0.69,0.15,29,100,6,0,0.14,0.54,1
4641,28680,3,0,0.16,0.15,75,192,0,0,0.10,0.44,1
4641,28681,3,0,0.23,0.19,74,183,0,0,0.22,0.54,0
4641,28682,3,0,0.06,0.09,119,351,6,0,0.10,0.27,1
4641,28683,3,1,0.53,0.69,463,349,118,1,0.19,0.22,1
4642,28684,3,0,0.07,0.23,1517,33,170,3,0.24,0.56,1
4642,28685,3,0,0.10,0.38,123,40,56,1,0.49,0.50,1
4642,28686,3,0,0.13,0.21,276,21,70,2,0.53,0.62,0
4642,28687,3,0,0.01,0.30,180,63,78,4,0.45,0.69,1
4642,28688,3,0,0.03,0.36,688,0,168,8,0.44,0.73,1
4642,28689,3,0,0.12,0.43,929,211,190,3,0.38,0.86,1
4642,28690,3,0,0.09,0.40,1108,36,274,6,0.45,0.50,1
4642,28691,3,0,0.14,0.29,6365,0,1142,18,0.38,0.79,1
4643,19933,2,0,0.18,0.34,8099,2641,970,2,0.60,0.81,0
4643,20581,2,0,0.34,0.43,8230,24439,80,0,0.54,0.61,1
4643,28692,2,0,0.24,0.29,63,21,80,1,0.35,0.66,1
4643,28693,2,0,0.08,0.28,1221,0,234,1,0.40,0.67,1
4643,28694,2,0,0.16,0.28,10939,877,1246,1,0.54,0.65,1
4643,28695,2,0,0.10,0.31,476,226,120,2,0.45,0.76,1
4643,28696,2,0,0.23,0.45,3440,565,430,0,0.51,0.69,0
4643,28697,2,0,0.28,0.44,1447,1053,232,5,0.47,0.72,1
4644,28703,3,0,0.00,0.30,708,726,62,0,0.34,0.84,0
4644,28704,3,0,0.91,0.02,71,219,0,0,0.15,0.11,1
4644,28705,3,0,0.32,0.10,3,4,0,0,0.09,0.22,0
4644,28706,3,0,0.18,0.29,88,282,0,0,0.16,0.36,1
4644,28707,3,0,0.14,0.17,130,333,0,0,0.11,0.40,0
4644,28708,3,0,0.23,0.23,7,10,4,0,0.19,0.26,1
4645,24916,4,1,0.07,0.38,2048,528,12,0,0.35,0.24,1
4645,28670,4,0,0.06,0.48,7089,2814,1200,0,0.68,0.87,1
4645,28709,4,0,0.00,0.16,1933,4921,140,0,0.49,0.69,1
4645,28710,4,0,0.08,0.23,394,34,74,0,0.21,0.42,0
4645,28711,4,1,0.23,0.45,2800,1375,172,0,0.25,0.15,1
4645,28712,4,0,0.07,0.33,788,369,136,0,0.48,0.79,1
4645,28713,4,0,0.02,0.26,1051,909,152,0,0.56,0.47,1
4646,28714,3,1,0.15,0.42,5488,274,262,2,0.15,0.20,0
4646,28715,3,1,0.18,0.49,3986,324,54,0,0.33,0.23,1
4646,28716,3,1,0.14,0.29,5644,297,674,0,0.33,0.19,1
4646,28717,3,1,0.16,0.51,1713,766,140,0,0.16,0.15,1
4646,28718,3,1,0.18,0.38,4357,378,562,0,0.29,0.21,1
4646,28719,3,1,0.21,0.48,2300,129,346,1,0.21,0.09,1
4646,28720,3,0,0.10,0.55,4627,471,560,0,0.39,0.53,1
4647,28725,2,0,0.17,0.33,9,0,6,1,0.20,0.34,1
4647,28726,2,0,0.21,0.36,283,325,48,0,0.23,0.37,1
4647,28770,2,0,0.18,0.18,383,151,66,0,0.40,0.56,1
4647,28771,2,0,0.17,0.32,3,1,0,0,0.20,0.36,0
4647,28772,2,0,0.10,0.29,93,292,2,0,0.27,0.59,1
4647,28773,2,0,0.17,0.24,5,3,0,0,0.16,0.20,0
4647,28774,2,0,0.00,0.32,1,3,4,0,0.18,0.10,0
4647,28775,2,0,0.04,0.15,8,22,0,0,0.19,0.22,0
4647,28776,2,0,0.07,0.25,53,168,0,0,0.22,0.62,0
4648,28727,2,0,0.13,0.09,235,417,2,0,0.25,0.40,1
4648,28728,2,0,0.00,0.24,40,124,6,0,0.18,0.52,1
4648,28729,2,0,0.16,0.16,7,0,4,0,0.09,0.14,1
4648,28730,2,0,0.11,0.21,100,304,0,0,0.29,0.61,0
4648,28731,2,0,0.15,0.21,0,3,2,0,0.38,0.64,0
4648,28732,2,0,0.15,0.25,6,0,16,0,0.09,0.34,0
4648,28733,2,0,0.08,0.20,8,4,0,0,0.41,0.49,1
4648,28734,2,0,0.14,0.25,94,300,0,0,0.19,0.55,0
4649,28735,3,0,0.26,0.30,7,1,4,0,0.21,0.35,0
4649,28736,3,0,0.06,0.23,44,94,12,1,0.31,0.50,0
4649,28737,3,1,0.24,0.38,119,277,18,0,0.17,0.43,0
4649,28738,3,0,0.13,0.46,1391,300,26,0,0.38,0.48,0
4649,28739,3,0,0.47,0.76,1415,936,50,0,0.28,0.29,1
4649,28740,3,1,0.42,0.56,9630,4714,772,61,0.40,0.33,1
4650,28741,2,0,0.25,0.40,369,1048,12,0,0.18,0.86,0
4650,28742,2,0,0.12,0.26,283,63,64,0,0.42,0.76,0
4650,28743,2,1,0.21,0.26,634,27,152,0,0.44,0.33,0
4650,28744,2,0,0.21,0.52,304,363,106,0,0.31,0.47,1
4650,28745,2,0,0.23,0.56,220,627,16,0,0.22,0.48,1
4650,28746,2,1,0.23,0.55,1155,378,298,0,0.41,0.29,1
4650,28747,2,0,0.24,0.25,571,85,136,0,0.45,0.91,0
4650,28748,2,0,0.33,0.62,1315,789,186,3,0.39,0.78,1
4650,28749,2,1,0.27,0.59,2820,360,752,3,0.44,0.39,1
4651,28750,3,1,0.00,0.23,114635,1098,6616,0,0.54,0.56,0
4651,28803,3,0,0.04,0.30,461,52,180,0,0.42,0.63,1
4651,28804,3,1,0.07,0.28,1012,0,238,2,0.31,0.45,0
4651,28805,3,1,0.23,0.46,6623,97,1366,2,0.33,0.34,1
4651,28806,3,1,0.00,0.41,4403,309,476,5,0.34,0.28,1
4651,28807,3,0,0.05,0.48,585,16,140,4,0.31,0.67,1
4651,28808,3,0,0.33,0.62,4839,81,394,11,0.43,0.68,1
4652,28751,2,1,0.16,0.45,1510,124,430,0,0.51,0.30,1
4652,28752,2,0,0.43,0.47,143,10,36,0,0.36,0.54,1
4652,28753,2,1,0.34,0.56,7275,382,3114,4,0.57,0.50,1
4652,28904,2,0,0.13,0.26,100,256,8,0,0.29,0.52,0
4652,28905,2,0,0.31,0.23,22,72,0,0,0.10,0.62,0
4652,28906,2,1,0.15,0.40,2135,337,116,0,0.34,0.22,1
4652,28907,2,0,0.08,0.26,2065,316,314,1,0.47,0.59,0
4652,28908,2,0,0.15,0.32,1,13,4,0,0.21,0.25,0
4652,28909,2,1,0.25,0.47,698,273,182,9,0.27,0.16,1
4653,28621,2,1,0.30,0.50,6970,433,4000,1,0.70,0.49,1
4653,28754,2,1,0.17,0.25,38,0,14,0,0.19,0.14,1
4653,28755,2,0,0.08,0.19,907,268,114,0,0.28,0.49,1
4653,28756,2,1,0.16,0.34,168,208,36,0,0.37,0.12,0
4653,28757,2,1,0.10,0.56,2643,361,760,0,0.45,0.25,1
4653,28758,2,0,0.14,0.47,1250,96,276,0,0.49,0.56,0
4654,28759,3,1,0.41,0.50,3,0,2,0,0.11,0.14,1
4654,28760,3,1,0.30,0.58,210,120,54,0,0.21,0.16,1
4655,28761,3,1,0.02,0.21,664,28,416,1,0.35,0.41,0
4655,28762,3,0,0.15,0.18,41,9,14,0,0.34,0.44,1
4655,28763,3,1,0.07,0.29,1975,28,666,4,0.40,0.19,0
4655,28764,3,0,0.09,0.17,28,3,32,5,0.37,0.78,0
4655,28765,3,1,0.15,0.34,92,12,60,0,0.55,0.38,1
4655,28766,3,0,0.27,0.38,98,55,42,0,0.49,0.53,1
4655,28767,3,0,0.10,0.43,625,72,382,6,0.49,0.41,1
4655,28768,3,0,0.35,0.57,28,0,22,0,0.47,0.45,0
4655,28769,3,1,0.41,0.65,14748,1266,4776,169,0.57,0.46,1
4656,28777,2,1,0.10,0.16,255,351,32,0,0.25,0.15,0
4656,28778,2,0,0.00,0.14,113,6,20,3,0.24,0.25,0
4656,28779,2,0,0.43,0.19,37,121,0,0,0.14,0.29,0
4656,28780,2,0,0.05,0.28,202,1,76,0,0.39,0.25,0
4656,28781,2,0,0.04,0.09,333,0,30,3,0.32,0.21,0
4656,28782,2,0,0.12,0.45,327,327,56,0,0.27,0.42,1
4656,28783,2,1,0.42,0.61,9140,312,1648,7,0.46,0.40,1
4656,28828,2,0,0.19,0.15,114,279,2,0,0.20,0.25,0
4656,28829,2,0,0.08,0.33,91,312,0,0,0.17,0.10,1
4657,28784,2,0,0.20,0.21,141,373,2,0,0.14,0.26,0
4657,28785,2,0,0.21,0.15,1012,462,78,0,0.39,0.92,0
4657,28786,2,0,0.05,0.20,108,229,8,0,0.08,0.32,0
4657,28787,2,0,0.28,0.10,201,357,26,0,0.11,0.33,0
4657,28788,2,0,0.26,0.14,35,73,0,0,0.28,0.90,1
4657,28789,2,0,0.11,0.30,17,54,2,0,0.22,0.78,0
4657,28790,2,0,0.08,0.35,173,13,24,0,0.18,0.31,0
4657,28791,2,0,0.35,0.62,157,286,24,0,0.14,0.16,1
4658,28792,4,0,0.34,0.34,0,0,0,0,0.19,0.86,0
4658,28793,4,0,0.22,0.45,5,4,8,0,0.20,0.74,0
4658,28794,4,0,0.10,0.41,12,7,4,0,0.20,0.76,1
4658,28795,4,0,0.48,0.68,2,18,2,0,0.17,0.74,1
4659,28796,8,0,0.31,0.11,39,84,0,0,0.18,0.21,1
4659,28797,8,0,0.19,0.09,4,12,0,0,0.32,0.73,0
4659,28798,8,0,0.66,0.28,11,3,12,0,0.22,0.45,0
4659,28799,8,0,0.28,0.39,24,0,24,0,0.28,0.39,0
4660,14715,3,0,0.11,0.41,628,75,136,1,0.30,0.43,1
4660,14718,3,0,0.17,0.42,2664,3421,184,0,0.51,0.56,0
4660,28800,3,0,0.19,0.31,111,0,28,0,0.23,0.20,1
4660,28801,3,1,0.20,0.38,114,340,0,0,0.09,0.32,1
4660,28802,3,0,0.11,0.41,2891,981,370,0,0.32,0.32,0
4660,29069,3,1,0.19,0.49,7212,1525,926,0,0.36,0.42,1
4660,29070,3,0,0.04,0.55,1463,426,300,0,0.35,0.41,1
4660,29071,3,0,0.13,0.34,139,333,12,0,0.21,0.12,1
4660,29072,3,1,0.01,0.23,9178,495,244,0,0.42,0.12,1
4660,29073,3,0,0.07,0.33,2203,927,298,0,0.41,0.65,1
4661,28809,3,0,0.25,0.32,3068,585,194,0,0.41,0.42,1
4661,28810,3,1,0.36,0.38,890,157,204,0,0.38,0.32,1
4661,28811,3,1,0.19,0.49,4090,3,904,0,0.37,0.43,0
4662,28812,2,0,0.09,0.34,60,117,4,0,0.18,0.38,0
4662,28813,2,0,0.06,0.04,89,0,32,0,0.38,0.46,0
4662,28814,2,0,0.02,0.21,3,0,8,1,0.28,0.37,1
4662,28815,2,0,0.19,0.43,50,4,14,0,0.32,0.30,0
4662,28816,2,0,0.23,0.46,265,331,36,0,0.39,0.37,0
4662,28817,2,0,0.08,0.26,785,550,80,3,0.40,0.37,0
4662,28818,2,1,0.10,0.36,969,531,94,0,0.28,0.23,1
4662,28819,2,0,0.07,0.42,1788,52,498,44,0.51,0.75,1
4662,28820,2,0,0.61,0.56,15194,7,1770,165,0.60,0.79,1
4663,28821,2,0,0.13,0.04,9,1,6,0,0.46,0.67,0
4663,28822,2,0,0.11,0.13,0,1,0,0,0.00,0.79,0
4663,28823,2,0,0.18,0.32,41,186,0,0,0.21,0.71,1
4663,28824,2,0,0.12,0.17,28,76,6,0,0.21,0.44,0
4663,28825,2,0,0.36,0.51,31,60,4,0,0.16,0.27,1
4664,28826,8,0,0.00,0.17,25,25,6,0,0.23,0.48,0
4664,28827,8,0,0.06,0.27,3,4,0,0,0.00,0.75,1
4665,28830,5,0,0.25,0.35,140,19,18,0,0.23,0.29,0
4665,28831,5,0,0.12,0.12,2380,991,402,0,0.43,0.78,1
4665,28832,5,0,0.06,0.28,507,277,118,0,0.43,0.94,1
4665,28833,5,0,0.02,0.10,52,21,12,0,0.33,0.86,0
4665,28834,5,0,0.15,0.42,388,573,70,0,0.47,0.82,0
4665,28881,5,1,0.20,0.07,217,100,42,0,0.47,0.52,0
4665,28882,5,0,0.17,0.21,196,133,32,0,0.32,0.41,0
4666,28835,2,1,0.13,0.00,2462,2074,202,0,0.24,0.03,0
4666,28836,2,1,0.13,0.17,154,370,26,0,0.36,0.01,0
4666,28837,2,0,0.20,0.40,87,7,22,0,0.15,0.52,1
4666,28838,2,0,0.05,0.31,173,52,28,2,0.19,0.51,0
4666,28839,2,1,0.23,0.49,2544,160,350,0,0.37,0.06,0
4666,28840,2,1,0.23,0.39,339,3,122,6,0.21,0.24,1
4666,28841,2,0,0.00,0.37,340,258,62,0,0.28,0.89,0
4666,28842,2,0,0.25,0.58,4744,738,636,84,0.49,0.75,0
4667,28843,3,0,0.38,0.12,157,342,2,0,0.25,0.59,0
4667,28844,3,0,0.24,0.47,38,9,0,0,0.07,0.48,1
4667,28845,3,0,0.23,0.10,0,3,0,0,0.06,0.68,0
4667,28846,3,0,0.48,0.54,52,60,12,0,0.34,0.70,1
4668,28847,4,0,0.46,0.14,3,15,0,0,0.08,0.36,1
4668,28848,4,0,0.31,0.15,13,37,4,0,0.08,0.01,0
4668,28849,4,0,0.17,0.19,6,22,8,0,0.05,0.29,0
4668,28850,4,0,0.29,0.20,219,91,48,0,0.39,0.34,1
4668,28851,4,0,0.23,0.08,470,13,154,0,0.50,0.57,1
4668,28852,4,0,0.09,0.31,768,10,136,0,0.42,0.42,0
4668,28853,4,0,0.40,0.42,142,171,10,0,0.22,0.91,1
4668,28854,4,0,0.41,0.50,118,252,32,0,0.17,0.29,0
4669,28855,3,0,0.42,0.15,357,46,40,0,0.21,0.41,0
4669,28856,3,0,0.08,0.35,745,672,94,0,0.27,0.61,1
4669,28910,3,0,0.13,0.29,253,4,48,0,0.21,0.41,0
4669,28911,3,0,0.23,0.30,149,75,16,0,0.27,0.38,1
4669,28912,3,0,0.10,0.30,45,34,12,0,0.22,0.61,0
4669,28913,3,0,0.06,0.32,555,52,94,0,0.11,0.47,0
4669,28914,3,0,0.08,0.31,239,70,18,0,0.30,0.34,0
4670,28857,2,0,0.29,0.63,526,289,72,2,0.35,0.41,1
4670,28858,2,1,0.53,0.65,6007,1219,1870,81,0.38,0.41,1
4670,29425,2,0,0.17,0.19,1576,288,76,0,0.26,0.45,0
4670,29426,2,0,0.02,0.37,289,300,54,0,0.27,0.44,0
4670,29427,2,0,0.12,0.21,215,4,66,0,0.26,0.43,0
4670,29428,2,0,0.04,0.18,226,231,38,0,0.38,0.45,0
4670,29429,2,0,0.22,0.48,334,294,22,0,0.41,0.85,0
4670,29430,2,0,0.11,0.46,112,28,38,0,0.26,0.78,0
4670,29431,2,0,0.05,0.20,1481,277,76,0,0.40,0.49,0
4670,29432,2,0,0.00,0.27,1932,304,538,43,0.19,0.54,0
4671,28859,4,0,0.19,0.20,7,1,10,0,0.32,0.52,1
4671,28860,4,0,0.02,0.18,14,0,4,0,0.42,0.75,0
4671,28861,4,0,0.03,0.34,883,133,168,0,0.25,0.36,0
4671,28862,4,0,0.07,0.41,233,100,100,0,0.48,0.62,1
4671,28863,4,0,0.16,0.37,846,160,116,0,0.35,0.55,1
4671,28864,4,0,0.13,0.45,4654,6,226,0,0.44,0.80,1
4671,28865,4,0,0.10,0.44,26,0,4,0,0.21,0.22,1
4671,28866,4,0,0.25,0.46,20606,339,1786,0,0.51,0.71,1
4672,28866,5,0,0.11,0.45,20563,343,1640,0,0.39,0.69,1
4672,28867,5,1,0.35,0.13,404,0,202,0,0.33,0.27,1
4672,28868,5,0,0.11,0.28,90,15,20,0,0.23,0.16,1
4672,28869,5,0,0.15,0.31,54,61,4,0,0.23,0.47,0
4672,28870,5,0,0.24,0.35,351,90,90,0,0.33,0.79,1
4672,28871,5,0,0.19,0.43,75,16,44,0,0.10,0.45,0
4672,28872,5,1,0.09,0.49,15857,142,2044,0,0.39,0.50,1
4672,28873,5,0,0.15,0.32,207,142,30,0,0.48,0.69,1
4672,28874,5,0,0.33,0.50,187,33,44,0,0.33,0.64,0
4673,28875,2,0,0.15,0.24,182,3,24,0,0.40,0.30,0
4673,28876,2,0,0.00,0.27,18,1,16,0,0.18,0.64,0
4673,28877,2,1,0.37,0.26,426,25,66,0,0.27,0.22,0
4673,28878,2,0,0.03,0.18,284,100,72,0,0.32,0.67,0
4673,28879,2,1,0.09,0.19,5234,357,796,0,0.48,0.32,1
4673,28880,2,1,0.08,0.34,8410,426,4414,0,0.54,0.44,1
4674,28883,3,0,0.01,0.42,5188,1075,726,0,0.31,0.40,1
4674,28884,3,0,0.20,0.45,26499,2194,2844,0,0.43,0.44,1
4674,28930,3,0,0.18,0.42,8,7,2,0,0.12,0.56,0
4674,28931,3,1,0.11,0.54,3359,289,578,0,0.43,0.61,1
4674,28932,3,0,0.17,0.37,112,195,22,0,0.21,0.75,0
4674,28933,3,0,0.19,0.49,395,0,60,0,0.26,0.09,0
4674,28934,3,0,0.15,0.32,201,7,42,0,0.10,0.31,0
4674,28935,3,0,0.15,0.53,233,13,36,0,0.25,0.38,0
4674,28936,3,0,0.16,0.54,913,82,188,0,0.34,0.76,1
4675,28885,3,0,0.13,0.00,40,76,8,0,0.08,0.79,0
4675,28886,3,0,0.17,0.15,13,4,4,0,0.10,0.46,0
4675,28887,3,0,0.19,0.23,24,49,0,0,0.27,0.45,0
4675,28888,3,0,0.24,0.23,1,9,0,0,0.00,0.43,0
4675,28889,3,1,0.19,0.32,84,268,0,0,0.14,0.28,1
4676,28890,5,0,0.14,0.51,799,66,118,0,0.41,0.49,0
4676,28891,5,0,0.29,0.51,153,195,32,0,0.27,0.90,0
4676,28892,5,0,0.17,0.57,325,328,40,0,0.24,0.29,1
4676,28893,5,0,0.17,0.14,115,49,24,0,0.41,0.53,0
4676,28894,5,0,0.13,0.22,368,561,40,0,0.31,0.38,1
4676,28895,5,0,0.19,0.20,755,25,130,0,0.31,0.45,1
4676,28896,5,0,0.13,0.34,1116,319,116,0,0.42,0.50,1
4676,28897,5,0,0.44,0.46,13,24,8,0,0.10,0.76,0
4676,28898,5,0,0.30,0.59,10,31,8,0,0.12,0.19,0
4677,28899,2,1,0.21,0.23,413,213,62,2,0.24,0.07,1
4677,28900,2,1,0.22,0.10,695,91,88,5,0.16,0.29,0
4677,28901,2,1,0.24,0.40,757,12,86,0,0.17,0.26,0
4677,28902,2,1,0.23,0.55,521,1,246,5,0.33,0.17,1
4677,28903,2,1,0.39,0.43,418,306,88,4,0.30,0.13,1
4678,28915,3,0,0.54,0.26,877,657,80,0,0.43,0.31,1
4678,28916,3,0,0.40,0.29,422,495,82,0,0.41,0.80,1
4678,28917,3,0,0.03,0.14,704,121,108,0,0.25,0.49,1
4678,28918,3,1,0.07,0.29,9256,345,1186,0,0.41,0.38,0
4678,28919,3,0,0.20,0.32,2461,1161,254,0,0.37,0.46,1
4678,28920,3,0,0.11,0.50,183,196,52,0,0.26,0.29,1
4678,28921,3,0,0.12,0.50,202,60,54,0,0.26,0.66,1
4678,28922,3,0,0.12,0.56,1457,412,234,0,0.31,0.15,1
4679,28923,2,1,0.16,0.21,3064,424,120,0,0.29,0.10,0
4679,28924,2,0,0.12,0.27,659,51,134,4,0.40,0.93,0
4679,28925,2,1,0.01,0.29,5893,10752,174,2,0.50,0.59,0
4679,28926,2,1,0.23,0.46,4130,8016,116,5,0.42,0.24,1
4679,28927,2,0,0.28,0.46,1349,490,234,2,0.21,0.45,0
4679,28928,2,0,0.14,0.61,2881,978,282,4,0.47,0.62,0
4679,28929,2,1,0.43,0.62,9853,2989,2200,222,0.43,0.69,1
4680,28937,2,0,0.10,0.32,83,255,0,0,0.27,0.76,0
4680,28938,2,0,0.07,0.33,156,349,10,0,0.26,0.89,0
4680,28939,2,1,0.28,0.60,14,0,8,1,0.18,0.00,1
4680,28940,2,1,0.26,0.38,12,18,10,0,0.24,0.00,1
4680,28941,2,1,0.14,0.31,92,0,96,2,0.28,0.19,1
4680,28987,2,0,0.20,0.16,108,319,2,0,0.12,0.60,1
4680,28988,2,0,0.11,0.24,603,1962,0,0,0.39,0.03,1
4680,28989,2,0,0.14,0.35,64,91,4,0,0.09,0.00,1
4681,28942,1,0,0.16,0.02,3,6,10,0,0.26,0.61,0
4681,28943,1,0,0.21,0.16,5,21,0,0,0.14,0.50,0
4681,28944,1,0,0.00,0.20,3,3,0,0,0.20,0.26,0
4681,28945,1,0,0.21,0.27,0,0,0,0,0.09,0.23,0
4681,28946,1,0,0.47,0.52,4,12,0,0,0.20,0.51,0
4681,28947,1,0,0.45,0.37,47,33,18,0,0.14,0.55,0
4682,28948,2,0,0.18,0.17,4,7,0,0,0.14,0.09,1
4682,28949,2,0,0.15,0.06,7,0,6,0,0.07,0.56,0
4682,28950,2,0,0.05,0.10,54,145,0,0,0.26,0.04,0
4682,28951,2,0,0.06,0.13,5,7,2,0,0.12,0.32,0
4682,28952,2,0,0.20,0.30,9,15,0,0,0.28,0.81,0
4682,28953,2,0,0.04,0.21,48,27,2,0,0.00,0.39,0
4683,28954,3,0,0.11,0.41,1,4,0,0,0.07,0.67,0
4683,28955,3,0,0.16,0.10,96,4,40,0,0.30,0.77,0
4683,28956,3,0,0.06,0.28,529,615,60,0,0.28,0.78,0
4683,28957,3,0,0.23,0.12,738,774,32,0,0.28,0.32,0
4683,28958,3,1,0.11,0.41,44,0,26,0,0.21,0.19,0
4683,28959,3,0,0.26,0.31,239,60,44,0,0.17,0.42,0
4683,28960,3,1,0.22,0.26,13739,73,1872,0,0.63,0.45,0
4683,28961,3,0,0.22,0.53,922,333,164,0,0.40,0.57,1
4684,28962,2,0,0.10,0.19,165,4,50,1,0.22,0.11,0
4684,29016,2,0,0.08,0.11,71,15,54,3,0.42,0.37,1
4684,29017,2,0,0.11,0.31,581,3,190,1,0.25,0.50,1
4684,29018,2,0,0.17,0.49,201,4,108,1,0.22,0.42,1
4684,29019,2,0,0.03,0.42,21,21,22,0,0.15,0.44,0
4684,29020,2,0,0.06,0.06,799,4,200,2,0.31,0.60,0
4684,29021,2,0,0.00,0.26,62,3,36,3,0.22,0.26,1
4684,29022,2,0,0.09,0.34,58,15,36,5,0.19,0.24,1
4684,29023,2,0,0.05,0.44,389,196,66,0,0.31,0.91,1
4684,29024,2,0,0.04,0.42,322,48,202,4,0.32,0.68,1
